city,main_location,second_location,map_address,country,start_date,max_numbers,more_one_day,numbers_source,image_url,icon_1,icon_2,icon_3
Perth,Forrest Place,,"Perth,Forrest Place,Australia",Australia,10/15/2011,200,Yes,http://www.perthnow.com.au/business/business-old/hundreds-rally-against-corporate-greed/story-e6frg2qu-1226167448468,http://resources1.news.com.au/images/2011/10/15/1226167/447021-occupy-perth-protest.jpg,capital_big_highlight,target,shaded_dot
Philadelphia,City Hall,University of Pennsylvania (Wharton School),"Philadelphia,City Hall,USA",USA,6/10/11,1000,Yes,http://articles.philly.com/2011-10-05/news/30247039_1_protesters-silent-majority-city-hall,http://thedp.com/media/00/00/02/19/21960_dsc_8491o.jpg,capital_big_highlight,target,shaded_dot
Phoenix,Cesar Chavez Plaza,,"Phoenix,Cesar Chavez Plaza,USA",USA,10/16/2011,2500,Yes,http://www.facebook.com/occupyphoenix?sk=wall,http://www.facebook.com/media/albums/?id=251838778194131,capital_big_highlight,target,shaded_dot
Pittsburgh,Mellon Green,Market Square,"Pittsburgh,Mellon Green,USA",USA,10/15/11,3000,Yes,http://pine-richland.patch.com/articles/occupy-pittsburgh-march-and-rallies-draw-thousands-to-hill-downtown-2f8ca4fc,http://images.politico.com/global/news/111016_occupy_pittsburgh_ap_328.jpg,capital_big_highlight,target,shaded_dot
Pocatello,Caldwell Park,Simplot Square,"Pocatello,Caldwell Park,United States",United States,7/10/11,,Yes,http://www.facebook.com/profile.php?id=1567242336#!/groups/165589080194476/,,capital_big_highlight,target,shaded_dot
"Point Reyes Station, California",Wells Fargo Bank,Town Commons,"Point Reyes Station, California,Wells Fargo Bank,USA",USA,9/10/11,40 every Sunday,Yes,occupypointreyes.org,,capital_big_highlight,target,shaded_dot
Poitiers,Place du Marché Notre-Dame,Place de la Liberté,"Poitiers,Place du Marché Notre-Dame,France",France,20 mai 2011,85,Yes,http://www.democratiereelle86.fr/,http://www.democratiereelle86.fr/wp-content/uploads/2011/06/campement-liberte-poitiers.jpg,capital_big_highlight,target,shaded_dot
"Port Angeles, WA",Veterans Park,,"Port Angeles, WA,Veterans Park,USA",USA,10.15.11,200,Yes,http://www.peninsuladailynews.com/article/20111016/NEWS/310169985,http://www.peninsuladailynews.com/article/20111016/NEWS/310169985,capital_big_highlight,target,shaded_dot
Port Aransas,,,"Port Aransas,,United States, Texas","United States, Texas",october 15th,1,Yes,,https://www.facebook.com/photo.php?fbid=10150882089390347&set=a.10150882087315347.758153.700670346&type=3&theater,capital_big_highlight,target,shaded_dot
Portland,Chapman Square,Lawnsdale Square,"Portland,Chapman Square,United States",United States,6/10/11,200+,Yes,http://occupypdx.org/occupation/,http://occupypdx.org/,capital_big_highlight,target,shaded_dot
